timestamp,strategy_id,instrument_id,side,price,quantity,realized_pnl,commission
1762302938762324391,SimpleMarketMaker,294973,BUY,6780.50,1,-12.50,2.17
1762302945645769659,SimpleMarketMaker,294973,BUY,6780.00,1,12.50,2.17
1762302950667755241,SimpleMarketMaker,294973,SELL,6780.25,1,0.00,2.17
1762302952839938959,SimpleMarketMaker,294973,BUY,6779.75,1,25.00,2.17
1762302960713583525,SimpleMarketMaker,294973,SELL,6780.00,1,0.00,2.17
1762302966783976175,SimpleMarketMaker,294973,BUY,6779.50,1,25.00,2.17
1762302982206929053,SimpleMarketMaker,294973,SELL,6779.00,1,0.00,2.17
1762302990289868299,SimpleMarketMaker,294973,BUY,6779.00,1,0.00,2.17
1762303010822593541,SimpleMarketMaker,294973,SELL,6778.25,1,0.00,2.17
1762303022978505067,SimpleMarketMaker,294973,BUY,6777.50,1,37.50,2.17
1762303029605226897,SimpleMarketMaker,294973,SELL,6777.75,1,0.00,2.17
1762303043405476077,SimpleMarketMaker,294973,BUY,6777.75,1,0.00,2.17
1762303044629629863,SimpleMarketMaker,294973,SELL,6778.00,1,0.00,2.17
1762303045053628657,SimpleMarketMaker,294973,BUY,6777.75,1,12.50,2.17
1762303065226380963,SimpleMarketMaker,294973,SELL,6778.25,1,0.00,2.17
1762303086808403933,SimpleMarketMaker,294973,BUY,6779.00,1,-37.50,2.17
1762303095652643383,SimpleMarketMaker,294973,SELL,6778.25,1,0.00,2.17
1762303097826286415,SimpleMarketMaker,294973,BUY,6778.00,1,12.50,2.17
1762303112729855901,SimpleMarketMaker,294973,SELL,6778.00,1,0.00,2.17
1762303117636447285,SimpleMarketMaker,294973,BUY,6778.00,1,0.00,2.17
1762303154601457977,SimpleMarketMaker,294973,SELL,6777.50,1,0.00,2.17
1762303168101964435,SimpleMarketMaker,294973,BUY,6777.25,1,12.50,2.17
1762303180554951207,SimpleMarketMaker,294973,SELL,6777.25,1,0.00,2.17
1762303188566843187,SimpleMarketMaker,294973,BUY,6776.75,1,25.00,2.17
1762303190654783935,SimpleMarketMaker,294973,SELL,6777.25,1,0.00,2.17
1762303191433321301,SimpleMarketMaker,294973,BUY,6777.00,1,12.50,2.17
1762303203511148729,SimpleMarketMaker,294973,BUY,6775.75,1,0.00,2.17
1762303204086326337,SimpleMarketMaker,294973,SELL,6776.00,1,12.50,2.17
1762303218238837079,SimpleMarketMaker,294973,BUY,6775.50,1,0.00,2.17
1762303220733481009,SimpleMarketMaker,294973,SELL,6775.75,1,12.50,2.17
1762303223658223677,SimpleMarketMaker,294973,SELL,6776.25,1,0.00,2.17
1762303226823631223,SimpleMarketMaker,294973,BUY,6775.75,1,25.00,2.17
1762303232181516357,SimpleMarketMaker,294973,SELL,6776.25,1,0.00,2.17
1762303238621295969,SimpleMarketMaker,294973,BUY,6776.00,1,12.50,2.17
1762303244661878363,SimpleMarketMaker,294973,SELL,6776.00,1,0.00,2.17
1762303250161564471,SimpleMarketMaker,294973,BUY,6775.50,1,25.00,2.17
1762303253260481295,SimpleMarketMaker,294973,SELL,6776.00,1,0.00,2.17
1762303258538290213,SimpleMarketMaker,294973,BUY,6775.50,1,25.00,2.17
1762303261924909767,SimpleMarketMaker,294973,SELL,6775.00,1,0.00,2.17
1762303282534888311,SimpleMarketMaker,294973,BUY,6776.25,1,-62.50,2.17
1762303287041083935,SimpleMarketMaker,294973,SELL,6776.00,1,0.00,2.17
1762303290968088273,SimpleMarketMaker,294973,BUY,6775.75,1,12.50,2.17
1762303304489098761,SimpleMarketMaker,294973,SELL,6774.50,1,0.00,2.17
1762303306318526963,SimpleMarketMaker,294973,BUY,6774.00,1,25.00,2.17
1762303308362731951,SimpleMarketMaker,294973,SELL,6774.50,1,0.00,2.17
1762303323202552497,SimpleMarketMaker,294973,BUY,6774.75,1,-12.50,2.17
1762303328153574077,SimpleMarketMaker,294973,SELL,6775.25,1,0.00,2.17
1762303339051442573,SimpleMarketMaker,294973,BUY,6774.75,1,25.00,2.17
1762303344162080833,SimpleMarketMaker,294973,SELL,6775.50,1,0.00,2.17
1762303348241143065,SimpleMarketMaker,294973,BUY,6775.50,1,0.00,2.17
1762303350098180483,SimpleMarketMaker,294973,SELL,6775.75,1,0.00,2.17
1762303369481725679,SimpleMarketMaker,294973,BUY,6775.25,1,25.00,2.17
1762303377028056043,SimpleMarketMaker,294973,SELL,6775.75,1,0.00,2.17
1762303381968122831,SimpleMarketMaker,294973,BUY,6775.50,1,12.50,2.17
1762303385009832017,SimpleMarketMaker,294973,SELL,6776.00,1,0.00,2.17
1762303394764525365,SimpleMarketMaker,294973,BUY,6775.50,1,25.00,2.17
1762303401687815137,SimpleMarketMaker,294973,SELL,6776.00,1,0.00,2.17
1762303406073613861,SimpleMarketMaker,294973,BUY,6776.00,1,0.00,2.17
1762303415250526749,SimpleMarketMaker,294973,SELL,6776.25,1,0.00,2.17
1762303421562786761,SimpleMarketMaker,294973,BUY,6775.25,1,50.00,2.17
1762303433358922411,SimpleMarketMaker,294973,SELL,6775.50,1,0.00,2.17
1762303438373008999,SimpleMarketMaker,294973,BUY,6774.75,1,37.50,2.17
1762303443771406931,SimpleMarketMaker,294973,SELL,6775.00,1,0.00,2.17
1762303460464465067,SimpleMarketMaker,294973,BUY,6775.25,1,-12.50,2.17
1762303465791604589,SimpleMarketMaker,294973,SELL,6775.50,1,0.00,2.17
1762303470881967409,SimpleMarketMaker,294973,BUY,6775.00,1,25.00,2.17
1762303501104233589,SimpleMarketMaker,294973,SELL,6775.00,1,0.00,2.17
1762303514332421355,SimpleMarketMaker,294973,BUY,6774.50,1,25.00,2.17
1762303532238051829,SimpleMarketMaker,294973,SELL,6774.75,1,0.00,2.17
1762303533440675883,SimpleMarketMaker,294973,BUY,6774.50,1,12.50,2.17
1762303549664603001,SimpleMarketMaker,294973,SELL,6773.75,1,0.00,2.17
1762303559698127349,SimpleMarketMaker,294973,BUY,6774.25,1,-25.00,2.17
1762303562860733205,SimpleMarketMaker,294973,SELL,6774.50,1,0.00,2.17
1762303569031061587,SimpleMarketMaker,294973,BUY,6774.75,1,-12.50,2.17
1762303572799727937,SimpleMarketMaker,294973,SELL,6774.75,1,0.00,2.17
1762303585691339515,SimpleMarketMaker,294973,BUY,6774.75,1,0.00,2.17
1762303586778561571,SimpleMarketMaker,294973,SELL,6775.00,1,0.00,2.17
1762303600295977003,SimpleMarketMaker,294973,BUY,6775.00,1,0.00,2.17
1762303623501383649,SimpleMarketMaker,294973,SELL,6775.25,1,0.00,2.17
1762303629402630141,SimpleMarketMaker,294973,BUY,6774.75,1,25.00,2.17
1762303635650870063,SimpleMarketMaker,294973,SELL,6775.75,1,0.00,2.17
1762303645739534715,SimpleMarketMaker,294973,BUY,6775.75,1,0.00,2.17
1762303650105368069,SimpleMarketMaker,294973,SELL,6775.50,1,0.00,2.17
1762303654145107961,SimpleMarketMaker,294973,BUY,6775.25,1,12.50,2.17
1762303665916448459,SimpleMarketMaker,294973,SELL,6775.50,1,0.00,2.17
1762303668932175431,SimpleMarketMaker,294973,BUY,6775.00,1,25.00,2.17
1762303679941884757,SimpleMarketMaker,294973,SELL,6774.25,1,0.00,2.17
1762303717207034069,SimpleMarketMaker,294973,BUY,6775.00,1,-37.50,2.17
1762303740544902301,SimpleMarketMaker,294973,SELL,6775.00,1,0.00,2.17
1762303753494282119,SimpleMarketMaker,294973,BUY,6775.00,1,0.00,2.17
